X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.4106974969095,22.2257466544045,152,51,1,510,15.7703638076782,251.374313354492,8.65655994415283,21.5406589508057
85.4263305947704,22.2284263349588,153,52,1,394,15.1981563568115,72.4317016601562,25.397367477417,24.6576557159424
85.4250384310927,22.2253198115179,154,52,1,430,17.5072193145752,164.116500854492,15.7183418273926,24.145393371582
85.4265203828745,22.2262964721458,155,52,1,416,16.5955562591553,132.382995605469,24.9952087402344,25.7293605804443
85.4260819831306,22.2267928101219,156,52,1,436,23.4594173431396,64.8407440185547,22.202392578125,34.4383506774902
85.4257367842197,22.2252806745269,157,52,1,419,17.8290119171143,139.894027709961,17.7131938934326,24.1660919189453
85.4256267302805,22.225744860823,158,52,1,429,19.3297290802002,136.440673828125,18.4435329437256,25.5538654327393
85.4260255255798,22.2260172762866,159,52,1,428,27.1344776153564,123.504661560059,22.7740058898926,38.0394515991211
85.4256369216482,22.2278830602153,160,52,1,423,16.5305995941162,66.3839340209961,19.7282085418701,21.2367610931396
85.426282118639,22.227748495947,161,52,1,398,17.9085369110107,71.5076370239258,27.5385894775391,29.2916374206543
85.4259157159025,22.2272986058185,162,52,1,428,23.7438869476318,70.3948059082031,20.0882530212402,36.7014999389648
85.4271074830015,22.2255324560036,163,53,1,403,16.8451328277588,339.120330810547,21.044282913208,25.0798721313477
85.4277474143348,22.2254103252795,164,53,1,412,19.5902194976807,337.162658691406,11.7526607513428,26.9443874359131
85.4287876180987,22.2259680001343,165,53,1,419,24.8379535675049,300.913421630859,14.2552032470703,32.8024406433105
85.4269535555792,22.2250568656676,166,53,1,412,21.0766353607178,351.627960205078,14.0160789489746,28.6356430053711
85.4264499795891,22.2252511397032,167,53,1,412,17.4619808197021,352.113067626953,14.8153676986694,24.3104915618896
85.4286124116505,22.2251647718424,168,53,1,435,16.0645408630371,308.788909912109,19.950798034668,23.2163734436035
85.4291588475071,22.2263395929441,169,53,1,424,15.3947200775146,309.81201171875,21.4446239471436,21.4476108551025
85.4282865502939,22.2256659875204,170,53,1,406,17.1936702728271,332.590850830078,24.873046875,29.0860786437988
85.4050243158468,22.2251869420596,171,54,1,437,15.4886951446533,281.089202880859,23.2091979980469,22.715633392334
85.4050501566879,22.2260361362832,172,54,1,424,15.9346942901611,314.71923828125,12.8687839508057,21.4242858886719
85.4046417765952,22.2255729862517,173,54,1,423,16.1248207092285,279.798126220703,17.2240180969238,22.8910465240479
85.4045396744656,22.2245444733422,174,54,1,432,15.6253213882446,289.7041015625,12.1047563552856,20.7846088409424
85.4045053111496,22.2250911336319,175,54,1,423,16.8387413024902,284.113098144531,17.2240180969238,27.5680980682373
85.4517285397163,22.2256175893415,176,55,1,420,15.3020992279053,134.771179199219,14.4960823059082,20.7605400085449
85.4510906155301,22.2252559802386,177,55,1,437,15.4236927032471,122.342803955078,8.64312744140625,19.6977157592773
85.4512189556544,22.2257522988522,178,55,1,434,15.349513053894,123.547912597656,7.80865287780762,19.8494338989258
85.4490761317623,22.2250818172871,179,56,1,430,17.8506278991699,262.685760498047,8.86881732940674,22.4499435424805
85.4490508390245,22.2245947258067,180,56,1,423,15.3779592514038,241.508666992188,11.706151008606,20.0748596191406
85.4216943392037,22.2243089230173,181,57,1,456,15.4840288162231,71.8927459716797,12.7437372207642,20.1990089416504
85.4320656346466,22.2245338035708,182,58,1,392,11.2126684188843,27.2107849121094,16.0572242736816,17.7482395172119
85.433551573538,22.2242944353414,183,59,1,395,15.2343816757202,11.8907260894775,5.65265464782715,20.0748596191406
85.407001046356,22.2275688372601,184,60,1,464,26.4178924560547,259.05810546875,30.6268367767334,37.2155876159668
